id,number_of_reviews,review_scores_rating,review_scores_location
5269.00,19.00,4.56,5.00
157141.00,335.00,4.54,4.66
162600.00,19.00,4.95,5.00
342351.00,98.00,4.82,4.94
5387.00,192.00,4.65,4.72
347803.00,74.00,4.36,4.82
350658.00,11.00,4.82,5.00
164132.00,80.00,4.89,4.95
5389.00,35.00,4.85,4.97
164963.00,133.00,4.81,4.99
168169.00,107.00,4.57,4.91
354577.00,285.00,4.85,4.84
363961.00,55.00,4.96,4.98
5930.00,232.00,4.70,4.93
365368.00,180.00,4.87,4.80
168203.00,120.00,4.64,4.88
7896.00,45.00,4.61,4.81
168205.00,296.00,4.87,4.92
375102.00,167.00,4.95,4.92
375207.00,139.00,4.69,4.85
8833.00,279.00,4.45,4.76
376440.00,164.00,4.60,4.86
177939.00,47.00,4.78,4.80
181989.00,255.00,4.79,4.92
381247.00,357.00,4.93,4.93
13238.00,141.00,4.43,4.77
385185.00,249.00,4.83,4.92
13523.00,29.00,4.89,4.93
404459.00,70.00,4.76,4.96
408489.00,41.00,4.98,4.97
190090.00,97.00,4.93,4.95
190231.00,43.00,4.93,4.95
13527.00,7.00,3.83,4.83
192610.00,249.00,4.70,4.75
410705.00,206.00,4.70,4.75
416853.00,312.00,4.56,4.79
13528.00,199.00,4.77,4.93
195220.00,105.00,4.86,4.90
13688.00,145.00,4.88,4.84
195296.00,254.00,4.70,4.68
416936.00,67.00,4.96,4.81
419153.00,43.00,5.00,4.96
420399.00,5.00,5.00,5.00
421737.00,194.00,4.91,4.89
13799.00,178.00,4.77,4.86
424902.00,156.00,4.85,4.79
198657.00,79.00,4.48,4.61
13899.00,15.00,4.73,5.00
198734.00,160.00,4.66,4.46
426613.00,240.00,4.58,4.88
430401.00,108.00,4.66,4.89
13901.00,189.00,4.60,4.69
430961.00,139.00,4.63,4.82
200441.00,32.00,4.78,4.78
201618.00,25.00,4.92,4.96
13933.00,77.00,4.75,4.92
202338.00,208.00,4.78,4.90
434008.00,539.00,4.68,4.91
14512.00,15.00,4.87,4.93
204711.00,29.00,4.97,4.90
14513.00,23.00,4.77,4.95
205599.00,59.00,4.88,4.93
205622.00,57.00,4.96,4.93
438923.00,374.00,4.81,4.92
15648.00,76.00,4.86,4.73
440924.00,124.00,4.86,4.85
444403.00,6.00,5.00,5.00
