id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,geometry
5269,South Kohala,Hawaii,20.0274,-155.702,POINT (-155.702 20.0274)
157141,Koolauloa,Honolulu,21.58989,-157.89154,POINT (-157.89154 21.58989)
162600,Kapaa-Wailua,Kauai,22.06174,-159.32052,POINT (-159.32052 22.06174)
620423234449702127,Koolauloa,Honolulu,21.60400249670328,-157.8957908263924,POINT (-157.8957908263924 21.60400249670328)
342351,South Kona,Hawaii,19.45073,-155.87281,POINT (-155.87281 19.45073)
5387,South Kona,Hawaii,19.43081,-155.88069,POINT (-155.88069 19.43081)
347803,Lahaina,Maui,20.87319,-156.67451,POINT (-156.67451 20.87319)
350658,Kihei-Makena,Maui,20.71242,-156.44419,POINT (-156.44419 20.71242)
164132,Ewa,Honolulu,21.33491,-158.1222,POINT (-158.1222 21.33491)
5389,North Kona,Hawaii,19.56604,-155.96199,POINT (-155.96199 19.56604)
164963,North Shore Oahu,Honolulu,21.66324,-158.05261,POINT (-158.05261 21.66324)
168169,North Kona,Hawaii,19.62159,-155.98484,POINT (-155.98484 19.62159)
354577,North Kona,Hawaii,19.72466,-155.99536,POINT (-155.99536 19.72466)
363961,Paia-Haiku,Maui,20.91093,-156.21823,POINT (-156.21823 20.91093)
5930,Koloa-Poipu,Kauai,21.88139,-159.47248,POINT (-159.47248 21.88139)
365368,North Kona,Hawaii,19.69424,-155.97492,POINT (-155.97492 19.69424)
168203,North Kona,Hawaii,19.62188,-155.98454,POINT (-155.98454 19.62188)
7896,Kihei-Makena,Maui,20.75684,-156.45631,POINT (-156.45631 20.75684)
168205,Puna,Hawaii,19.43101,-155.22781,POINT (-155.22781 19.43101)
375102,Kihei-Makena,Maui,20.70975,-156.44107,POINT (-156.44107 20.70975)
375207,Lahaina,Maui,20.93473,-156.69041,POINT (-156.69041 20.93473)
8833,North Kona,Hawaii,19.60668,-155.97585,POINT (-155.97585 19.60668)
376440,Paia-Haiku,Maui,20.92211,-156.37335,POINT (-156.37335 20.92211)
177939,Paia-Haiku,Maui,20.90874,-156.37628,POINT (-156.37628 20.90874)
181989,Lahaina,Maui,20.962015,-156.683578,POINT (-156.683578 20.962015)
381247,North Kona,Hawaii,19.61995,-155.96115,POINT (-155.96115 19.61995)
13238,North Shore Kauai,Kauai,22.21789,-159.47184,POINT (-159.47184 22.21789)
385185,East Honolulu,Honolulu,21.27172,-157.70183,POINT (-157.70183 21.27172)
13523,Koolaupoko,Honolulu,21.34118,-157.70218,POINT (-157.70218 21.34118)
404459,Lahaina,Maui,20.86686,-156.67308,POINT (-156.67308 20.86686)
408489,Koolaupoko,Honolulu,21.39792,-157.72926,POINT (-157.72926 21.39792)
190090,North Kona,Hawaii,19.69682,-155.98528,POINT (-155.98528 19.69682)
190231,North Kona,Hawaii,19.69791,-155.98335,POINT (-155.98335 19.69791)
13527,North Kona,Hawaii,19.61632,-155.98305,POINT (-155.98305 19.61632)
192610,Paia-Haiku,Maui,20.92459,-156.37028,POINT (-156.37028 20.92459)
410705,Paia-Haiku,Maui,20.91031,-156.32267,POINT (-156.32267 20.91031)
416853,Primary Urban Center,Honolulu,21.28001,-157.82278,POINT (-157.82278 21.28001)
13528,Kihei-Makena,Maui,20.72413,-156.44767,POINT (-156.44767 20.72413)
195220,Lahaina,Maui,20.87538,-156.6746,POINT (-156.6746 20.87538)
13688,Puna,Hawaii,19.39402,-154.9306,POINT (-154.9306 19.39402)
195296,North Kona,Hawaii,19.66898,-155.97848,POINT (-155.97848 19.66898)
416936,Puna,Hawaii,19.4425,-154.91567,POINT (-154.91567 19.4425)
419153,Lihue,Kauai,22.04658,-159.33683,POINT (-159.33683 22.04658)
420399,Primary Urban Center,Honolulu,21.2749,-157.81938,POINT (-157.81938 21.2749)
421737,Kau,Hawaii,19.06881,-155.66895,POINT (-155.66895 19.06881)
13799,Kihei-Makena,Maui,20.75723,-156.45704,POINT (-156.45704 20.75723)
424902,Koolaupoko,Honolulu,21.41798,-157.74791,POINT (-157.74791 21.41798)
198657,Koolaupoko,Honolulu,21.41755,-157.75187,POINT (-157.75187 21.41755)
13899,Lahaina,Maui,20.94837,-156.69075,POINT (-156.69075 20.94837)
198734,Puna,Hawaii,19.40942,-154.92766,POINT (-154.92766 19.40942)
426613,Primary Urban Center,Honolulu,21.27513,-157.82463,POINT (-157.82463 21.27513)
430401,Kihei-Makena,Maui,20.72689,-156.44882,POINT (-156.44882 20.72689)
13901,Puna,Hawaii,19.52373,-154.84746,POINT (-154.84746 19.52373)
430961,Kihei-Makena,Maui,20.72446,-156.44726,POINT (-156.44726 20.72446)
200441,Kihei-Makena,Maui,20.70986,-156.43828,POINT (-156.43828 20.70986)
201618,North Kona,Hawaii,19.60885,-155.96764,POINT (-155.96764 19.60885)
13933,Puna,Hawaii,19.43437,-155.22057,POINT (-155.22057 19.43437)
202338,Puna,Hawaii,19.43678,-155.22518,POINT (-155.22518 19.43678)
434008,North Kona,Hawaii,19.63668,-155.99033,POINT (-155.99033 19.63668)
14512,North Shore Kauai,Kauai,22.22291,-159.49495,POINT (-159.49495 22.22291)
204711,South Kona,Hawaii,19.47032,-155.91851,POINT (-155.91851 19.47032)
14513,North Shore Kauai,Kauai,22.22291,-159.49495,POINT (-159.49495 22.22291)
205599,North Kohala,Hawaii,20.243,-155.83676,POINT (-155.83676 20.243)
