id,neighbourhood_cleansed,latitude,longitude
5269.00,South Kohala,20.03,-155.70
157141.00,Koolauloa,21.59,-157.89
162600.00,Kapaa-Wailua,22.06,-159.32
342351.00,South Kona,19.45,-155.87
5387.00,South Kona,19.43,-155.88
347803.00,Lahaina,20.87,-156.67
350658.00,Kihei-Makena,20.71,-156.44
164132.00,Ewa,21.33,-158.12
5389.00,North Kona,19.57,-155.96
164963.00,North Shore Oahu,21.66,-158.05
168169.00,North Kona,19.62,-155.98
354577.00,North Kona,19.72,-156.00
363961.00,Paia-Haiku,20.91,-156.22
5930.00,Koloa-Poipu,21.88,-159.47
365368.00,North Kona,19.69,-155.97
168203.00,North Kona,19.62,-155.98
7896.00,Kihei-Makena,20.76,-156.46
168205.00,Puna,19.43,-155.23
375102.00,Kihei-Makena,20.71,-156.44
375207.00,Lahaina,20.93,-156.69
8833.00,North Kona,19.61,-155.98
376440.00,Paia-Haiku,20.92,-156.37
177939.00,Paia-Haiku,20.91,-156.38
181989.00,Lahaina,20.96,-156.68
381247.00,North Kona,19.62,-155.96
13238.00,North Shore Kauai,22.22,-159.47
385185.00,East Honolulu,21.27,-157.70
13523.00,Koolaupoko,21.34,-157.70
404459.00,Lahaina,20.87,-156.67
408489.00,Koolaupoko,21.40,-157.73
190090.00,North Kona,19.70,-155.99
190231.00,North Kona,19.70,-155.98
13527.00,North Kona,19.62,-155.98
192610.00,Paia-Haiku,20.92,-156.37
410705.00,Paia-Haiku,20.91,-156.32
416853.00,Primary Urban Center,21.28,-157.82
13528.00,Kihei-Makena,20.72,-156.45
195220.00,Lahaina,20.88,-156.67
13688.00,Puna,19.39,-154.93
195296.00,North Kona,19.67,-155.98
416936.00,Puna,19.44,-154.92
419153.00,Lihue,22.05,-159.34
420399.00,Primary Urban Center,21.27,-157.82
421737.00,Kau,19.07,-155.67
13799.00,Kihei-Makena,20.76,-156.46
424902.00,Koolaupoko,21.42,-157.75
198657.00,Koolaupoko,21.42,-157.75
13899.00,Lahaina,20.95,-156.69
198734.00,Puna,19.41,-154.93
426613.00,Primary Urban Center,21.28,-157.82
430401.00,Kihei-Makena,20.73,-156.45
13901.00,Puna,19.52,-154.85
430961.00,Kihei-Makena,20.72,-156.45
200441.00,Kihei-Makena,20.71,-156.44
201618.00,North Kona,19.61,-155.97
13933.00,Puna,19.43,-155.22
202338.00,Puna,19.44,-155.23
434008.00,North Kona,19.64,-155.99
14512.00,North Shore Kauai,22.22,-159.49
204711.00,South Kona,19.47,-155.92
14513.00,North Shore Kauai,22.22,-159.49
205599.00,North Kohala,20.24,-155.84
205622.00,North Kohala,20.24,-155.84
438923.00,Koolauloa,21.70,-157.99
15648.00,South Kona,19.46,-155.88
440924.00,Koloa-Poipu,21.87,-159.45
444403.00,North Kona,19.57,-155.97
205804.00,South Kona,19.46,-155.88
210058.00,Puna,19.41,-154.92
15757.00,Lahaina,20.95,-156.69
210968.00,North Shore Oahu,21.68,-158.03
216766.00,Lahaina,20.87,-156.68
452084.00,Koloa-Poipu,21.87,-159.44
453187.00,Kihei-Makena,20.79,-156.51
218378.00,Lahaina,20.96,-156.68
16914.00,Lahaina,20.95,-156.69
222203.00,South Kona,19.48,-155.91
223390.00,North Shore Oahu,21.67,-158.04
227594.00,North Shore Oahu,21.58,-158.11
455848.00,North Kona,19.64,-155.99
455874.00,North Kona,19.64,-155.99
455893.00,North Kona,19.64,-155.99
227803.00,North Kona,19.63,-155.99
18465.00,Primary Urban Center,21.27,-157.82
229954.00,Koolauloa,21.61,-157.91
230529.00,Puna,19.43,-155.22
461418.00,South Hilo,19.72,-155.09
18466.00,Primary Urban Center,21.27,-157.82
238177.00,Puna,19.43,-155.23
19416.00,North Kona,19.57,-155.97
238797.00,Waimea-Kekaha,21.96,-159.70
461449.00,South Kona,19.30,-155.87
20562.00,Primary Urban Center,21.28,-157.83
465622.00,Lahaina,20.87,-156.68
479121.00,Puna,19.40,-154.92
239370.00,Primary Urban Center,21.28,-157.82
23639.00,North Shore Oahu,21.64,-158.06
245410.00,South Hilo,19.77,-155.10
245691.00,North Kona,19.68,-155.98
484879.00,North Shore Oahu,21.68,-158.03
485229.00,Koolaupoko,21.40,-157.74
485244.00,Koolaupoko,21.40,-157.74
23814.00,Puna,19.55,-154.96
485291.00,Puna,19.40,-154.92
248735.00,North Shore Kauai,22.23,-159.48
251343.00,Puna,19.43,-155.22
24119.00,Puna,19.56,-154.97
253427.00,Molokai,21.19,-157.25
24161.00,Lahaina,20.96,-156.68
256422.00,North Shore Oahu,21.68,-158.03
257196.00,North Kona,19.68,-155.98
496129.00,Puna,19.46,-154.85
497782.00,Primary Urban Center,21.28,-157.82
24500.00,Kihei-Makena,20.72,-156.45
498012.00,Puna,19.40,-154.92
499013.00,Puna,19.46,-154.85
258691.00,South Hilo,19.72,-155.10
262648.00,North Shore Kauai,22.22,-159.47
512183.00,Primary Urban Center,21.29,-157.81
517327.00,Kapaa-Wailua,22.05,-159.34
30236.00,Kihei-Makena,20.72,-156.45
519698.00,Puna,19.46,-154.85
519759.00,Puna,19.46,-154.85
519789.00,Puna,19.46,-154.85
521895.00,Primary Urban Center,21.28,-157.83
263442.00,East Honolulu,21.31,-157.71
266804.00,Wailuku-Kahului,20.89,-156.50
268423.00,Kihei-Makena,20.76,-156.46
35084.00,Puna,19.60,-154.94
270799.00,Kihei-Makena,20.80,-156.51
274808.00,Lahaina,20.87,-156.68
274810.00,Kau,19.20,-155.48
274864.00,Kau,19.20,-155.48
278204.00,Paia-Haiku,20.93,-156.32
522085.00,Lihue,22.05,-159.34
523562.00,Paia-Haiku,20.93,-156.36
524333.00,Lihue,22.05,-159.34
36789.00,South Kona,19.48,-155.91
36877.00,South Kona,19.32,-155.88
529551.00,Koloa-Poipu,21.87,-159.45
531301.00,Koloa-Poipu,21.88,-159.48
283017.00,South Kona,19.47,-155.92
283375.00,North Kona,19.71,-155.99
285009.00,Kihei-Makena,20.72,-156.45
286807.00,Makawao-Pukalani-Kula,20.72,-156.34
289022.00,Kau,19.20,-155.48
289023.00,Kau,19.20,-155.48
293054.00,North Kona,19.57,-155.97
531664.00,South Kona,19.49,-155.91
533471.00,Kapaa-Wailua,22.05,-159.34
533482.00,Lihue,22.05,-159.34
37099.00,Primary Urban Center,21.27,-157.82
535213.00,Lahaina,20.97,-156.68
538839.00,Kihei-Makena,20.72,-156.45
38634.00,Primary Urban Center,21.28,-157.84
297648.00,Puna,19.60,-154.95
38944.00,North Shore Oahu,21.67,-158.04
299547.00,Puna,19.60,-154.95
543600.00,Koloa-Poipu,21.87,-159.44
39898.00,South Kona,19.46,-155.88
543962.00,Puna,19.39,-154.93
547635.00,Puna,19.43,-155.23
300353.00,Paia-Haiku,20.87,-156.31
300379.00,Primary Urban Center,21.30,-157.84
40298.00,Paia-Haiku,20.91,-156.23
304658.00,Kihei-Makena,20.76,-156.46
307004.00,Koolaupoko,21.40,-157.73
40803.00,Kihei-Makena,20.76,-156.46
312200.00,Puna,19.58,-155.01
548097.00,Lahaina,20.92,-156.70
551138.00,Primary Urban Center,21.27,-157.81
317750.00,Koloa-Poipu,21.88,-159.47
46473.00,Kihei-Makena,20.73,-156.45
554205.00,North Kona,19.72,-155.99
46477.00,Kihei-Makena,20.73,-156.45
555648.00,North Kona,19.63,-155.99
53590.00,South Kohala,20.03,-155.70
555708.00,Koolauloa,21.70,-157.99
318028.00,South Kohala,20.02,-155.70
54047.00,Kihei-Makena,20.70,-156.44
320684.00,South Kona,19.49,-155.91
323819.00,Puna,19.60,-154.94
557699.00,Koloa-Poipu,21.88,-159.47
557880.00,Kihei-Makena,20.70,-156.44
55000.00,Waianae,21.48,-158.20
565485.00,North Hilo,19.97,-155.22
570918.00,Paia-Haiku,20.92,-156.37
578041.00,Wailuku-Kahului,20.89,-156.50
