id,date
246770863,2018-03-26
248011183,2018-03-30
248833758,2018-04-01
251489252,2018-04-08
253710522,2018-04-15
258376221,2018-04-29
261306801,2018-05-06
264186557,2018-05-13
266424585,2018-05-20
268829339,2018-05-26
269372069,2018-05-27
272800585,2018-06-04
287344980,2018-07-08
291721087,2018-07-16
294496987,2018-07-22
298172552,2018-07-29
302279644,2018-08-05
1191,2009-03-30
306216633,2018-08-12
310106945,2018-08-19
313259416,2018-08-25
317351134,2018-09-02
323303565,2018-09-15
327084766,2018-09-23
330283268,2018-09-30
334510450,2018-10-09
344207627,2018-11-03
347457927,2018-11-11
1771,2009-04-24
1989,2009-05-03
2797,2009-05-18
3151,2009-05-25
4748,2009-06-29
352305493,2018-11-25
5202,2009-07-07
9131,2009-09-06
356877039,2018-12-09
363612175,2018-12-29
12103,2009-10-01
16196,2009-11-04
18095,2009-11-23
18286,2009-11-25
24925,2010-01-27
31154,2010-03-24
35916,2010-04-16
36774,2010-04-19
39856,2010-05-03
45708,2010-05-24
48766,2010-06-01
54108,2010-06-17
54654,2010-06-19
58048,2010-06-27
62552,2010-07-08
73222,2010-08-03
74084,2010-08-05
87063,2010-08-30
91025,2010-09-06
94243,2010-09-10
97728,2010-09-15
105516,2010-09-26
112271,2010-10-05
114145,2010-10-08
117153,2010-10-12
126525,2010-10-25
140762,2010-11-17
143537,2010-11-23
161816,2011-01-01
194298,2011-03-07
539256,2011-09-17
546627,2011-09-19
844859,2012-01-06
1183915,2012-04-26
1208278,2012-05-01
1263127,2012-05-11
2316666,2012-09-17
3474770,2013-02-04
4073594,2013-04-08
4243623,2013-04-22
5655711,2013-07-10
6156753,2013-08-01
6237561,2013-08-05
6365929,2013-08-10
8808875,2013-11-18
9364999,2013-12-24
12945574,2014-05-15
14388551,2014-06-18
364805812,2018-12-31
403074227,2019-01-20
410520878,2019-02-10
413257031,2019-02-17
419089773,2019-03-03
421933222,2019-03-10
424693888,2019-03-17
427782584,2019-03-24
430928398,2019-03-31
433993759,2019-04-07
437163647,2019-04-14
440814076,2019-04-21
444558935,2019-04-28
448293963,2019-05-05
451807437,2019-05-12
454925412,2019-05-19
14732237,2014-06-25
14830834,2014-06-27
17466669,2014-08-12
19264865,2014-09-09
24161015,2014-12-21
25113634,2015-01-06
27924775,2015-03-15
458649850,2019-05-26
32963316,2015-05-24
33666474,2015-05-31
196836,2011-03-11
214718,2011-04-01
232163,2011-04-19
260298,2011-05-12
314616,2011-06-14
330647,2011-06-23
341388,2011-06-28
359800,2011-07-08
369637,2011-07-12
510827,2011-09-07
515199,2011-09-09
542894,2011-09-18
554817,2011-09-21
698543,2011-11-07
825414,2012-01-02
1084419,2012-04-04
1194128,2012-04-28
1437274,2012-06-08
462600317,2019-06-02
1475433,2012-06-13
1540158,2012-06-23
1594647,2012-06-30
34205433,2015-06-06
34698829,2015-06-11
59915091,2016-01-17
61690820,2016-02-07
66064535,2016-03-19
66419186,2016-03-22
66982586,2016-03-26
68113347,2016-04-02
69950616,2016-04-15
71552655,2016-04-26
74789663,2016-05-16
77795053,2016-06-03
78223177,2016-06-05
78884589,2016-06-09
80071654,2016-06-16
82237762,2016-06-26
90629953,2016-08-01
92475815,2016-08-08
98238035,2016-08-30
100009623,2016-09-06
100907323,2016-09-11
104027084,2016-09-25
108155036,2016-10-14
110048969,2016-10-24
114045923,2016-11-15
115139836,2016-11-22
116194630,2016-11-28
117193805,2016-12-05
126956462,2017-01-15
130776231,2017-02-08
131027583,2017-02-10
139022268,2017-03-23
143280485,2017-04-11
149427026,2017-05-04
152094808,2017-05-14
152941836,2017-05-19
157903449,2017-06-05
158720248,2017-06-08
160955017,2017-06-16
175260574,2017-07-28
176885432,2017-08-01
178619278,2017-08-06
179730630,2017-08-08
182176614,2017-08-14
183338325,2017-08-17
184324775,2017-08-19
188412368,2017-08-29
191612935,2017-09-08
193892774,2017-09-15
194463158,2017-09-17
196820701,2017-09-24
198927207,2017-10-01
200640180,2017-10-06
202672245,2017-10-12
465252579,2019-06-07
482384186,2019-07-06
204920031,2017-10-20
206591174,2017-10-26
208409267,2017-11-01
209491139,2017-11-05
210407771,2017-11-09
212501559,2017-11-18
214255234,2017-11-25
215003970,2017-11-27
215913995,2017-12-02
218150637,2017-12-11
219269947,2017-12-17
492261020,2019-07-21
497270885,2019-07-28
502144162,2019-08-04
506246146,2019-08-10
220047290,2017-12-20
224535140,2018-01-03
225324493,2018-01-06
227206297,2018-01-14
233374278,2018-02-09
238178909,2018-02-25
240828688,2018-03-06
241673491,2018-03-10
255015879,2018-04-19
261807149,2018-05-07
263585998,2018-05-12
267073949,2018-05-21
278516421,2018-06-18
280016584,2018-06-22
282113998,2018-06-26
283545132,2018-06-30
284865496,2018-07-02
285577443,2018-07-04
292103018,2018-07-17
1872771,2012-08-02
2281683,2012-09-14
3657240,2013-02-28
3956289,2013-03-30
4344658,2013-04-29
4524630,2013-05-10
4569852,2013-05-13
4928557,2013-06-02
5120220,2013-06-13
5282066,2013-06-22
512122916,2019-08-18
517225895,2019-08-25
525676561,2019-09-08
529768956,2019-09-15
537792397,2019-09-29
297084168,2018-07-27
299052184,2018-07-30
300426453,2018-08-02
308373307,2018-08-16
317018101,2018-09-01
318047191,2018-09-03
319836298,2018-09-07
324929219,2018-09-18
541553866,2019-10-05
325890131,2018-09-21
6798865,2013-08-25
7712133,2013-09-30
9600146,2014-01-03
11310196,2014-03-29
11753031,2014-04-14
12789427,2014-05-11
12934868,2014-05-14
13041264,2014-05-18
14452516,2014-06-19
14614776,2014-06-23
15194300,2014-07-04
15331290,2014-07-07
15577744,2014-07-12
15958467,2014-07-19
16263344,2014-07-24
16408539,2014-07-27
16984035,2014-08-05
18056471,2014-08-21
19039663,2014-09-05
20096728,2014-09-23
20302184,2014-09-27
20503978,2014-09-30
20832438,2014-10-06
21059309,2014-10-10
21292853,2014-10-14
21480086,2014-10-18
21664685,2014-10-21
21787755,2014-10-24
22033157,2014-10-28
23174233,2014-11-24
24206321,2014-12-22
24688179,2015-01-01
25046545,2015-01-05
25881134,2015-01-28
26566187,2015-02-15
26748548,2015-02-18
27163384,2015-02-27
28343101,2015-03-22
28540642,2015-03-25
29497034,2015-04-08
328062073,2018-09-25
335477637,2018-10-12
337037790,2018-10-15
338295279,2018-10-19
339173220,2018-10-21
340789585,2018-10-25
354691031,2018-12-02
359030150,2018-12-16
400823280,2019-01-13
406392099,2019-01-29
408402525,2019-02-04
409596754,2019-02-08
424244569,2019-03-16
425432336,2019-03-18
546086580,2019-10-13
551464464,2019-10-20
561853945,2019-11-10
568275318,2019-11-24
574438743,2019-12-08
576020525,2019-12-12
605761784,2020-02-15
485251919644559170,2021-10-31
581649190131058914,2022-03-13
591843542858340213,2022-03-27
596931952510646579,2022-04-03
601985193818806286,2022-04-10
607010741708986691,2022-04-17
612057092242114986,2022-04-24
617175829132106092,2022-05-01
